,Close,Volume,google_trends,tw_compound,tw_polarity,tw_subjectivity,tweet_volume,re_compound,re_polarity,re_subjectivity
11/02/2022 08:00,42966.27,13316.619,76.43769522,0.197597092,0.092977585,0.358499546,1692,0.799593372,0.227129568,0.474924281
11/02/2022 09:00,43470.01,22616.712,71.20223664,0.228034834,0.119860066,0.387936751,1381,0.799593372,0.227129568,0.474924281
11/02/2022 10:00,43420.43,10679.139,72.24932836,0.258525897,0.122048407,0.377879328,1441,0.97365419,0.187087966,0.441158079
11/02/2022 11:00,43332.95,6912.057,72.24932836,0.265788713,0.110307524,0.367239895,1427,0.8987,-0.065104167,0.511979167
11/02/2022 12:00,43549.55,14618.012,80.62606208,0.217921389,0.10923418,0.395315033,1501,0.464672904,0.063917411,0.447275689
11/02/2022 13:00,43729.28,12954.999,76.43769522,0.26643541,0.111958403,0.422744976,1655,0.786279243,0.106499094,0.535209319
11/02/2022 14:00,43493.4,33334.203,78.53187865,0.263676878,0.121450194,0.411402146,2104,0.572871471,0.106234906,0.437510006
11/02/2022 15:00,43648.87,14246.274,76.43769522,0.267953072,0.103985075,0.38342233,2104,0.432304898,0.020019529,0.451222371
11/02/2022 16:00,43564.79,16984.259,79.57897037,0.225796614,0.094090652,0.397649993,2134,0.396075252,0.072198803,0.513008551
11/02/2022 17:00,43404.71,12029.604,81.6731538,0.278176774,0.115930464,0.380294961,1510,0.57989523,0.030410048,0.520684898
11/02/2022 18:00,42652.95,29036.85,84.81442894,0.212992308,0.105695553,0.384928777,2229,0.877568498,0.148950252,0.462282586
11/02/2022 19:00,42725.35,51436.859,87.95570409,0.153515854,0.07895109,0.373690466,2409,0.605339637,0.104347639,0.56367303
11/02/2022 20:00,42334.2,24498.624,93.19116267,0.129239369,0.081327777,0.395257008,2096,0.257330476,0.100053518,0.433850277
11/02/2022 21:00,42532.99,11589.384,96.33243781,0.188306536,0.092763415,0.397374208,1927,0.641672059,0.089310084,0.463437846
11/02/2022 22:00,42144.59,15181.726,89.00279581,0.15246805,0.075258086,0.410216285,1849,0.501704749,0.174768874,0.405761593
11/02/2022 23:00,42366,14265.322,102.6149881,0.178114764,0.093680666,0.397429958,1666,0.450238846,0.061983344,0.485496929
12/02/2022 00:00,42314.89,7048.62,82.72024551,0.203217724,0.114472781,0.407430177,1531,0.374272654,0.133509699,0.445478722
12/02/2022 01:00,42439.51,5422.299,74.34351179,0.1721102,0.073895321,0.396126207,1354,0.416254775,0.037230726,0.312075302
12/02/2022 02:00,42441.01,3858.446,65.96677807,0.127586538,0.06398235,0.380093263,1217,0.228960268,0.051008598,0.361678065
12/02/2022 03:00,42279.98,6114.426,67.01386978,0.21227706,0.087614119,0.406849106,1241,0.555992447,0.045125393,0.431781403
12/02/2022 04:00,42286.33,4785.79,74.34351179,0.17393764,0.0853664,0.402528757,1017,0.9382,0.157575758,0.378787879
12/02/2022 05:00,42268.45,4692.741,65.96677807,0.160384722,0.072984641,0.420439078,1038,0.921081851,0.271665642,0.501886502
12/02/2022 06:00,42032.57,17834.472,74.34351179,0.198763881,0.091884159,0.398436845,1060,-0.8074,0.030208333,0.33661859
12/02/2022 07:00,42090.76,9420.604,76.43769522,0.224038682,0.104184641,0.388196169,1058,0.758649206,0.147830579,0.432369146
12/02/2022 08:00,42268.76,11070.376,72.24932836,0.184384055,0.090482808,0.406670305,1556,0.442199541,0.063536897,0.351387206
12/02/2022 09:00,42374.84,7406.782,75.39060351,0.160428297,0.100555254,0.398011472,1122,0.942017496,0.143840965,0.464873543
12/02/2022 10:00,42259.49,10254.384,72.24932836,0.219686571,0.105319097,0.417061317,1059,0.320021341,0.178515598,0.464405038
12/02/2022 11:00,42385.66,15538.629,63.87259464,0.179436292,0.095590861,0.363471568,1233,0.613043388,0.125808604,0.441462476
12/02/2022 12:00,42260.34,7519.093,67.01386978,0.159643224,0.091797079,0.386070026,1283,0.326813115,0.041052887,0.413552594
12/02/2022 13:00,42088.38,7455.879,68.0609615,0.170704582,0.085210954,0.398150989,1445,0.182441129,0.041463358,0.341279762
12/02/2022 14:00,42144.17,19783.556,68.0609615,0.224841978,0.094746682,0.404024464,1561,0.66092517,0.117129348,0.443202977
12/02/2022 15:00,42115.6,13349.929,70.15514493,0.233109531,0.114421829,0.387750239,1755,0.419532493,0.07407462,0.486045214
12/02/2022 16:00,42704.38,27232.019,68.0609615,0.227365562,0.117369882,0.408512156,1859,0.504545865,0.097884887,0.476190638
