timestep,features,google_trends_lag,tweet_volume_lag,tweet_polarity_score_lag,batch_size,neurons,layers,mean_down_f1_score,mean_up_f1_score,mean_acc,min_acc,max_acc,diff_acc,optimizer,month,consecutive,actic_func
25,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity' 'tweet_volume']",10,28,15,200,32,1,0.561217033,0.514354278,0.53986014,0.531468531,0.551282051,0.01981352,adam,6,1,linear
5,['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'],19,1,15,64,32,2,0.552428658,0.524956386,0.539814815,0.533564815,0.553240741,0.019675926,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,100,32,2,0.547734879,0.528705739,0.539140534,0.516840883,0.56329849,0.046457607,<keras.optimizers.optimizer_v2.rmsprop.RMSprop object at 0x298b758b0>,,,
11,['Label' 'Close' 'google_trends_lag' 'tweet_volume_lag' 'tw_polarity'],10,28,15,64,32,2,0.492871074,0.573200478,0.53902439,0.514518002,0.555168409,0.040650407,,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity' 'tweet_volume']",10,28,15,200,48,1,0.542841914,0.534210248,0.538675958,0.530778165,0.548199768,0.017421603,adam,6,1,relu
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity_lag']",10,28,15,64,32,1,0.544634257,0.527210312,0.538211382,0.533101045,0.541231127,0.008130081,rmsprop,,,
11,['Label' 'Close' 'google_trends_lag' 'tweet_volume_lag' 'tw_polarity'],10,28,15,64,32,1,0.532508557,0.538916027,0.538095238,0.520325203,0.566782811,0.046457607,,,,
11,['Label' 'Close' 'google_trends_lag' 'tweet_volume_lag' 'tw_polarity'],10,28,15,100,32,1,0.537120764,0.536969946,0.537746806,0.513356562,0.56097561,0.047619048,,,,
11,"['Label' 'Close' 'Volume' 'Open' 'High' 'Low' 'Change' 'google_trends_lag'
 'tweet_volume_lag' 'tw_polarity']",10,28,15,64,48,2,0.43718946,0.593151973,0.53728223,0.504065041,0.583042973,0.078977933,<keras.optimizers.optimizer_v2.rmsprop.RMSprop object at 0x1772bd370>,6,1,
15,['Label' 'Close' 'tweet_volume_lag' 'tweet_volume'],10,28,15,200,32,1,0.564793072,0.505220224,0.536976744,0.530232558,0.543023256,0.012790698,adam,6,1,linear
11,['Label' 'Close' 'google_trends_lag' 'tweet_volume_lag' 'tw_polarity'],10,28,15,80,32,2,0.548914212,0.521367268,0.536817654,0.505226481,0.555168409,0.049941928,,,,
11,"['Label' 'Close' 'Volume' 'Change' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,100,32,1,0.548474647,0.517954994,0.53670151,0.519163763,0.557491289,0.038327526,,,,
11,['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'],19,1,15,64,32,1,0.515330269,0.555267833,0.536500579,0.530706837,0.544611819,0.013904983,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,100,32,1,0.553749787,0.514960744,0.536469222,0.514518002,0.55981417,0.045296167,<keras.optimizers.optimizer_v2.rmsprop.RMSprop object at 0x298b758b0>,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,80,32,2,0.553624749,0.514597001,0.536469222,0.518002323,0.549361208,0.031358885,<keras.optimizers.optimizer_v2.rmsprop.RMSprop object at 0x298b758b0>,,,
11,['Label' 'Close' 'Volume' 're_compound' 're_polarity' 're_subjectivity'],10,28,15,64,32,1,0.522491483,0.548834039,0.536353078,0.506387921,0.556329849,0.049941928,rmsprop,,,
11,['Label' 'Close' 'google_trends_lag' 'tweet_volume_lag' 'tw_polarity'],10,28,15,64,32,1,0.561048719,0.505469119,0.536236934,0.513356562,0.555168409,0.041811847,,,,
11,"['Label' 'Close' 'Volume' 'Change' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,80,32,1,0.556798373,0.511565012,0.53612079,0.523809524,0.551684088,0.027874564,,,,
11,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,80,32,1,0.569523979,0.49539198,0.53612079,0.512195122,0.56097561,0.048780488,<keras.optimizers.optimizer_v2.rmsprop.RMSprop object at 0x298b758b0>,,,
3,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity' 'tweet_volume']",10,28,15,200,32,2,0.52238271,0.54818638,0.53580533,0.52838934,0.539976825,0.011587486,adam,6,1,linear
11,['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'],19,81,15,64,32,2,0.578956517,0.471106861,0.53560517,0.526439483,0.545240893,0.01880141,rmsprop,,,
24,['Label' 'Close' 'Volume' 'google_trends' 'tweet_volume'],10,10,15,64,32,1,0.566848204,0.449595657,0.535423926,0.505226481,0.552845528,0.047619048,rmsprop,,,
11,['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'],19,1,15,64,32,2,0.498576566,0.566562404,0.535341831,0.5202781,0.544611819,0.02433372,rmsprop,,,
11,"['Label' 'Close' 'Volume' 'Open' 'High' 'Low' 'Change' 'google_trends_lag'
 'tweet_volume_lag' 'tw_polarity']",10,28,15,64,48,2,0.415058034,0.613280189,0.534728033,0.523012552,0.542538354,0.019525802,<keras.optimizers.optimizer_v2.rmsprop.RMSprop object at 0x1772bd370>,5,1,
11,['Label' 'Close' 'Volume' 'google_trends_lag'],10,28,15,64,32,2,0.469814978,0.574680131,0.533565621,0.524970964,0.544715447,0.019744483,rmsprop,,,
11,['Label' 'Close' 'google_trends_lag' 'tweet_volume_lag' 'tw_polarity'],10,28,15,80,32,1,0.551286852,0.513094021,0.533565621,0.5029036,0.552845528,0.049941928,,,,
9,"['Label' 'Close' 'Volume' 'google_trends_lag' 'tweet_volume_lag'
 'tw_polarity']",10,28,15,64,32,2,0.478802746,0.577184191,0.533410673,0.52900232,0.540603248,0.011600928,adam,,,
